Rank,NOC,Gold,Silver,Bronze,Total,Year
30,Denmark,2,2,3,7,2008
31,North Korea,2,2,2,6,2008
31,Thailand,2,2,2,6,2008
33,Mongolia,2,2,0,4,2008
34,Switzerland,2,1,4,7,2008
35,Argentina,2,0,4,6,2008
36,Mexico,2,0,2,4,2008
37,Belgium,2,0,0,2,2008
38,Zimbabwe,1,3,0,4,2008
39,Slovenia,1,2,2,5,2008
40,Azerbaijan,1,1,4,6,2008
40,Indonesia,1,1,4,6,2008
42,Bulgaria,1,1,3,5,2008
42,Turkey,1,1,3,5,2008
44,Chinese Taipei,1,1,2,4,2008
44,Finland,1,1,2,4,2008
46,Latvia,1,1,1,3,2008
47,Dominican Republic,1,1,0,2,2008
47,Estonia,1,1,0,2,2008
47,Portugal,1,1,0,2,2008
47,Trinidad and Tobago,1,1,0,2,2008
51,India,1,0,2,3,2008
52,Iran,1,0,1,2,2008
53,Cameroon,1,0,0,1,2008
53,Panama,1,0,0,1,2008
53,Tunisia,1,0,0,1,2008
56,Sweden,0,4,1,5,2008
57,Lithuania,0,3,2,5,2008
57,Nigeria,0,3,2,5,2008
59,Croatia,0,2,3,5,2008
60,Colombia,0,2,1,3,2008
60,Greece,0,2,1,3,2008
62,Armenia,0,1,4,5,2008
63,Uzbekistan,0,1,3,4,2008
64,Austria,0,1,2,3,2008
64,Ireland,0,1,2,3,2008
64,Kyrgyzstan,0,1,2,3,2008
64,Serbia,0,1,2,3,2008
68,Algeria,0,1,1,2,2008
68,Bahamas,0,1,1,2,2008
68,Morocco,0,1,1,2,2008
68,Tajikistan,0,1,1,2,2008
72,Chile,0,1,0,1,2008
72,Ecuador,0,1,0,1,2008
72,Iceland,0,1,0,1,2008
72,Malaysia,0,1,0,1,2008
72,Samoa,0,1,0,1,2008
72,Singapore,0,1,0,1,2008
72,South Africa,0,1,0,1,2008
72,Sudan,0,1,0,1,2008
72,Vietnam,0,1,0,1,2008
81,Egypt,0,0,2,2,2008
82,Afghanistan,0,0,1,1,2008
82,Israel,0,0,1,1,2008
82,Mauritius,0,0,1,1,2008
82,Moldova,0,0,1,1,2008
82,Togo,0,0,1,1,2008
82,Venezuela,0,0,1,1,2008
83,AHO,0,0,0,0,2008
83,ALB,0,0,0,0,2008
83,AND,0,0,0,0,2008
83,ANG,0,0,0,0,2008
83,ANT,0,0,0,0,2008
83,ARU,0,0,0,0,2008
83,ASA,0,0,0,0,2008
83,BAN,0,0,0,0,2008
83,BAR,0,0,0,0,2008
83,BDI,0,0,0,0,2008
83,BEN,0,0,0,0,2008
83,BER,0,0,0,0,2008
83,BHU,0,0,0,0,2008
83,BIH,0,0,0,0,2008
83,BIZ,0,0,0,0,2008
83,BOL,0,0,0,0,2008
83,BOT,0,0,0,0,2008
83,BRN,0,0,0,0,2008
83,BUR,0,0,0,0,2008
83,CAF,0,0,0,0,2008
83,CAM,0,0,0,0,2008
83,CAY,0,0,0,0,2008
83,CGO,0,0,0,0,2008
83,CHA,0,0,0,0,2008
83,CIV,0,0,0,0,2008
83,COD,0,0,0,0,2008
83,COK,0,0,0,0,2008
83,COM,0,0,0,0,2008
83,CPV,0,0,0,0,2008
83,CRC,0,0,0,0,2008
83,CYP,0,0,0,0,2008
83,DJI,0,0,0,0,2008
83,DMA,0,0,0,0,2008
83,ERI,0,0,0,0,2008
83,ESA,0,0,0,0,2008
83,FIJ,0,0,0,0,2008
83,FSM,0,0,0,0,2008
83,GAB,0,0,0,0,2008
83,GAM,0,0,0,0,2008
83,GBS,0,0,0,0,2008
83,GEQ,0,0,0,0,2008
83,GHA,0,0,0,0,2008
83,GRN,0,0,0,0,2008
83,GUA,0,0,0,0,2008
83,GUI,0,0,0,0,2008
83,GUM,0,0,0,0,2008
83,GUY,0,0,0,0,2008
83,HAI,0,0,0,0,2008
83,HKG,0,0,0,0,2008
83,HON,0,0,0,0,2008
83,IRQ,0,0,0,0,2008
83,ISV,0,0,0,0,2008
83,IVB,0,0,0,0,2008
83,JOR,0,0,0,0,2008
83,KIR,0,0,0,0,2008
83,KSA,0,0,0,0,2008
83,KUW,0,0,0,0,2008
83,LAO,0,0,0,0,2008
83,LBA,0,0,0,0,2008
83,LBR,0,0,0,0,2008
83,LCA,0,0,0,0,2008
83,LES,0,0,0,0,2008
83,LIB,0,0,0,0,2008
83,LIE,0,0,0,0,2008
83,LUX,0,0,0,0,2008
83,MAD,0,0,0,0,2008
83,MAW,0,0,0,0,2008
83,MDV,0,0,0,0,2008
83,MHL,0,0,0,0,2008
83,MKD,0,0,0,0,2008
83,MLI,0,0,0,0,2008
83,MLT,0,0,0,0,2008
83,MNE,0,0,0,0,2008
83,MON,0,0,0,0,2008
83,MOZ,0,0,0,0,2008
83,MTN,0,0,0,0,2008
83,MYA,0,0,0,0,2008
83,NAM,0,0,0,0,2008
83,NCA,0,0,0,0,2008
83,NEP,0,0,0,0,2008
83,NIG,0,0,0,0,2008
83,NRU,0,0,0,0,2008
83,OMA,0,0,0,0,2008
83,PAK,0,0,0,0,2008
83,PAR,0,0,0,0,2008
83,PER,0,0,0,0,2008
83,PHI,0,0,0,0,2008
83,PLE,0,0,0,0,2008
83,PLW,0,0,0,0,2008
83,PNG,0,0,0,0,2008
83,PUR,0,0,0,0,2008
83,QAT,0,0,0,0,2008
83,RWA,0,0,0,0,2008
83,SAM,0,0,0,0,2008
83,SEN,0,0,0,0,2008
83,SEY,0,0,0,0,2008
83,SKN,0,0,0,0,2008
83,SLE,0,0,0,0,2008
83,SMR,0,0,0,0,2008
83,SOL,0,0,0,0,2008
83,SOM,0,0,0,0,2008
83,SRI,0,0,0,0,2008
83,STP,0,0,0,0,2008
83,SUR,0,0,0,0,2008
83,SWZ,0,0,0,0,2008
83,SYR,0,0,0,0,2008
83,TAN,0,0,0,0,2008
83,TGA,0,0,0,0,2008
83,TKM,0,0,0,0,2008
83,TLS,0,0,0,0,2008
83,TUV,0,0,0,0,2008
83,UAE,0,0,0,0,2008
83,UGA,0,0,0,0,2008
83,URU,0,0,0,0,2008
83,VAN,0,0,0,0,2008
83,VIN,0,0,0,0,2008
83,YEM,0,0,0,0,2008
83,ZAM,0,0,0,0,2008
1,United States,48,26,30,104,2012
2,China,39,31,22,92,2012
3,Great Britain,29,18,18,65,2012
4,Russia,18,21,26,65,2012
5,South Korea,13,9,9,31,2012
6,Germany,11,20,13,44,2012
7,France,11,11,13,35,2012
8,Australia,8,15,12,35,2012
9,Italy,8,9,11,28,2012
10,Hungary,8,4,6,18,2012
11,Japan,7,14,17,38,2012
12,Iran,7,5,1,13,2012
13,Netherlands,6,6,8,20,2012
14,New Zealand,6,2,5,13,2012
15,Ukraine,5,4,10,19,2012
16,Cuba,5,3,7,15,2012
17,Spain,4,10,6,20,2012
18,Jamaica,4,5,4,13,2012
19,Czech Republic,4,4,3,11,2012
20,South Africa,4,1,1,6,2012
21,North Korea,4,0,2,6,2012
22,Brazil,3,5,9,17,2012
23,Kazakhstan,3,2,6,11,2012
23,Poland,3,2,6,11,2012
25,Ethiopia,3,2,3,8,2012
26,Croatia,3,1,2,6,2012
27,Canada,2,6,10,18,2012
28,Belarus,2,5,3,10,2012
29,Kenya,2,4,7,13,2012
30,Denmark,2,4,3,9,2012
31,Romania,2,4,1,7,2012
32,Azerbaijan,2,2,5,9,2012
33,Switzerland,2,2,0,4,2012
34,Norway,2,1,1,4,2012
35,Lithuania,2,0,3,5,2012
36,Tunisia,2,0,1,3,2012
37,Sweden,1,4,3,8,2012
38,Colombia,1,3,5,9,2012
39,Mexico,1,3,4,8,2012
40,Georgia,1,2,3,6,2012
41,Ireland,1,1,4,6,2012
42,Argentina,1,1,2,4,2012
42,Serbia,1,1,2,4,2012
42,Slovenia,1,1,2,4,2012
42,Trinidad and Tobago,1,1,2,4,2012
46,Turkey,1,1,1,3,2012
47,Dominican Republic,1,1,0,2,2012
48,Chinese Taipei,1,0,1,2,2012
48,Latvia,1,0,1,2,2012
50,Algeria,1,0,0,1,2012
50,Bahamas,1,0,0,1,2012
50,Bahrain,1,0,0,1,2012
50,Grenada,1,0,0,1,2012
50,Uganda,1,0,0,1,2012
50,Venezuela,1,0,0,1,2012
56,Egypt,0,3,1,4,2012
57,India,0,2,4,6,2012
58,Mongolia,0,2,3,5,2012
59,Thailand,0,2,2,4,2012
60,Bulgaria,0,2,1,3,2012
60,Finland,0,2,1,3,2012
60,Indonesia,0,2,1,3,2012
63,Slovakia,0,1,3,4,2012
64,Belgium,0,1,2,3,2012
65,Armenia,0,1,1,2,2012
65,Estonia,0,1,1,2,2012
65,Malaysia,0,1,1,2,2012
65,Puerto Rico,0,1,1,2,2012
65,Qatar,0,1,1,2,2012
70,Botswana,0,1,0,1,2012
70,Cyprus,0,1,0,1,2012
70,Gabon,0,1,0,1,2012
70,Guatemala,0,1,0,1,2012
70,Montenegro,0,1,0,1,2012
70,Portugal,0,1,0,1,2012
76,Uzbekistan,0,0,3,3,2012
77,Greece,0,0,2,2,2012
77,Singapore,0,0,2,2,2012
79,Afghanistan,0,0,1,1,2012
79,Cameroon,0,0,1,1,2012
79,Hong Kong,0,0,1,1,2012
79,Kuwait,0,0,1,1,2012
79,Morocco,0,0,1,1,2012
79,Saudi Arabia,0,0,1,1,2012
79,Tajikistan,0,0,1,1,2012
79,Vietnam,0,0,1,1,2012
80,ALB,0,0,0,0,2012
80,AND,0,0,0,0,2012
80,ANG,0,0,0,0,2012
80,ANT,0,0,0,0,2012
80,ARU,0,0,0,0,2012
80,ASA,0,0,0,0,2012
80,AUT,0,0,0,0,2012
80,BAN,0,0,0,0,2012
80,BAR,0,0,0,0,2012
80,BDI,0,0,0,0,2012
80,BEN,0,0,0,0,2012
80,BER,0,0,0,0,2012
80,BHU,0,0,0,0,2012
80,BIH,0,0,0,0,2012
80,BIZ,0,0,0,0,2012
80,BOL,0,0,0,0,2012
80,BRU,0,0,0,0,2012
80,BUR,0,0,0,0,2012
80,CAF,0,0,0,0,2012
80,CAM,0,0,0,0,2012
80,CAY,0,0,0,0,2012
80,CGO,0,0,0,0,2012
80,CHA,0,0,0,0,2012
80,CHI,0,0,0,0,2012
80,CIV,0,0,0,0,2012
80,CMR,0,0,0,0,2012
80,COD,0,0,0,0,2012
80,COK,0,0,0,0,2012
80,COM,0,0,0,0,2012
80,CPV,0,0,0,0,2012
80,CRC,0,0,0,0,2012
80,DJI,0,0,0,0,2012
80,DMA,0,0,0,0,2012
80,ECU,0,0,0,0,2012
80,ERI,0,0,0,0,2012
80,ESA,0,0,0,0,2012
80,FIJ,0,0,0,0,2012
80,FSM,0,0,0,0,2012
80,GAM,0,0,0,0,2012
80,GBS,0,0,0,0,2012
80,GEQ,0,0,0,0,2012
80,GHA,0,0,0,0,2012
80,GUI,0,0,0,0,2012
80,GUM,0,0,0,0,2012
80,GUY,0,0,0,0,2012
80,HAI,0,0,0,0,2012
80,HON,0,0,0,0,2012
80,IOA,0,0,0,0,2012
80,IRQ,0,0,0,0,2012
80,ISL,0,0,0,0,2012
80,ISR,0,0,0,0,2012
80,ISV,0,0,0,0,2012
80,IVB,0,0,0,0,2012
80,JOR,0,0,0,0,2012
80,KGZ,0,0,0,0,2012
80,KIR,0,0,0,0,2012
80,LAO,0,0,0,0,2012
80,LBA,0,0,0,0,2012
80,LBR,0,0,0,0,2012
80,LCA,0,0,0,0,2012
80,LES,0,0,0,0,2012
80,LIB,0,0,0,0,2012
80,LIE,0,0,0,0,2012
80,LUX,0,0,0,0,2012
80,MAD,0,0,0,0,2012
80,MAW,0,0,0,0,2012
80,MDV,0,0,0,0,2012
80,MHL,0,0,0,0,2012
80,MKD,0,0,0,0,2012
80,MLI,0,0,0,0,2012
80,MLT,0,0,0,0,2012
80,MON,0,0,0,0,2012
80,MOZ,0,0,0,0,2012
80,MRI,0,0,0,0,2012
80,MTN,0,0,0,0,2012
80,MYA,0,0,0,0,2012
80,NAM,0,0,0,0,2012
80,NCA,0,0,0,0,2012
80,NEP,0,0,0,0,2012
80,NGR,0,0,0,0,2012
80,NIG,0,0,0,0,2012
80,NRU,0,0,0,0,2012
80,OMA,0,0,0,0,2012
80,PAK,0,0,0,0,2012
80,PAN,0,0,0,0,2012
80,PAR,0,0,0,0,2012
80,PER,0,0,0,0,2012
80,PHI,0,0,0,0,2012
80,PLE,0,0,0,0,2012
80,PLW,0,0,0,0,2012
80,PNG,0,0,0,0,2012
80,RWA,0,0,0,0,2012
80,SAM,0,0,0,0,2012
80,SEN,0,0,0,0,2012
80,SEY,0,0,0,0,2012
80,SKN,0,0,0,0,2012
80,SLE,0,0,0,0,2012
80,SMR,0,0,0,0,2012
80,SOL,0,0,0,0,2012
80,SOM,0,0,0,0,2012
80,SRI,0,0,0,0,2012
80,STP,0,0,0,0,2012
80,SUD,0,0,0,0,2012
80,SUR,0,0,0,0,2012
80,SWZ,0,0,0,0,2012
80,SYR,0,0,0,0,2012
80,TAN,0,0,0,0,2012
80,TGA,0,0,0,0,2012
80,TKM,0,0,0,0,2012
80,TLS,0,0,0,0,2012
80,TOG,0,0,0,0,2012
80,TUV,0,0,0,0,2012
80,UAE,0,0,0,0,2012
80,URU,0,0,0,0,2012
80,VAN,0,0,0,0,2012
80,VIE,0,0,0,0,2012
80,VIN,0,0,0,0,2012
80,YEM,0,0,0,0,2012
80,ZAM,0,0,0,0,2012
80,ZIM,0,0,0,0,2012
1,United States,46,37,38,121,2016
2,Great Britain,27,23,17,67,2016
3,China,26,18,26,70,2016
4,Russia,19,17,20,56,2016
5,Germany,17,10,15,42,2016
6,Japan,12,8,21,41,2016
7,France,10,18,14,42,2016
8,South Korea,9,3,9,21,2016
9,Italy,8,12,8,28,2016
10,Australia,8,11,10,29,2016
11,Netherlands,8,7,4,19,2016
12,Hungary,8,3,4,15,2016
13,Brazil,7,6,6,19,2016
14,Spain,7,4,6,17,2016
15,Kenya,6,6,1,13,2016
16,Jamaica,6,3,2,11,2016
17,Croatia,5,3,2,10,2016
18,Cuba,5,2,4,11,2016
19,New Zealand,4,9,5,18,2016
20,Canada,4,3,15,22,2016
21,Uzbekistan,4,2,7,13,2016
22,Colombia,3,2,3,8,2016
23,Switzerland,3,2,2,7,2016
24,Iran,3,1,4,8,2016
25,Greece,3,1,2,6,2016
26,Argentina,3,1,0,4,2016
27,Denmark,2,6,7,15,2016
28,Sweden,2,6,3,11,2016
29,South Africa,2,6,2,10,2016
30,Kazakhstan,2,5,10,17,2016
31,Ukraine,2,5,4,11,2016
32,Serbia,2,4,2,8,2016
33,Poland,2,3,6,11,2016
34,North Korea,2,3,2,7,2016
35,Belgium,2,2,2,6,2016
35,Thailand,2,2,2,6,2016
37,Slovakia,2,2,0,4,2016
38,Georgia,2,1,4,7,2016
39,Azerbaijan,1,7,10,18,2016
40,Belarus,1,4,4,9,2016
41,Turkey,1,3,4,8,2016
42,Armenia,1,3,0,4,2016
43,Czech Republic,1,2,7,10,2016
44,Ethiopia,1,2,5,8,2016
45,Slovenia,1,2,1,4,2016
46,Indonesia,1,2,0,3,2016
47,Romania,1,1,2,4,2016
48,Bahrain,1,1,0,2,2016
48,Vietnam,1,1,0,2,2016
50,Chinese Taipei,1,0,2,3,2016
51,Bahamas,1,0,1,2,2016
51,Independent Olympic Athletes,1,0,1,2,2016
51,Ivory Coast,1,0,1,2,2016
54,Fiji,1,0,0,1,2016
54,Jordan,1,0,0,1,2016
54,Kosovo,1,0,0,1,2016
54,Puerto Rico,1,0,0,1,2016
54,Singapore,1,0,0,1,2016
54,Tajikistan,1,0,0,1,2016
60,Malaysia,0,4,1,5,2016
61,Mexico,0,3,2,5,2016
62,Venezuela,0,2,1,3,2016
63,Algeria,0,2,0,2,2016
63,Ireland,0,2,0,2,2016
65,Lithuania,0,1,3,4,2016
66,Bulgaria,0,1,2,3,2016
67,India,0,1,1,2,2016
67,Mongolia,0,1,1,2,2016
69,Burundi,0,1,0,1,2016
69,Grenada,0,1,0,1,2016
69,Niger,0,1,0,1,2016
69,Philippines,0,1,0,1,2016
69,Qatar,0,1,0,1,2016
74,Norway,0,0,4,4,2016
75,Egypt,0,0,3,3,2016
75,Tunisia,0,0,3,3,2016
77,Israel,0,0,2,2,2016
78,Austria,0,0,1,1,2016
78,Dominican Republic,0,0,1,1,2016
78,Estonia,0,0,1,1,2016
78,Finland,0,0,1,1,2016
78,Morocco,0,0,1,1,2016
78,Nigeria,0,0,1,1,2016
78,Portugal,0,0,1,1,2016
78,Trinidad and Tobago,0,0,1,1,2016
78,United Arab Emirates,0,0,1,1,2016
79,AFG,0,0,0,0,2016
79,ALB,0,0,0,0,2016
79,AND,0,0,0,0,2016
79,ANG,0,0,0,0,2016
79,ANT,0,0,0,0,2016
79,ARU,0,0,0,0,2016
79,ASA,0,0,0,0,2016
79,BAN,0,0,0,0,2016
79,BAR,0,0,0,0,2016
79,BEN,0,0,0,0,2016
79,BER,0,0,0,0,2016
79,BHU,0,0,0,0,2016
79,BIH,0,0,0,0,2016
79,BIZ,0,0,0,0,2016
79,BOL,0,0,0,0,2016
79,BOT,0,0,0,0,2016
79,BRU,0,0,0,0,2016
79,BUR,0,0,0,0,2016
79,CAF,0,0,0,0,2016
79,CAM,0,0,0,0,2016
79,CAY,0,0,0,0,2016
79,CGO,0,0,0,0,2016
79,CHA,0,0,0,0,2016
79,CHI,0,0,0,0,2016
79,CMR,0,0,0,0,2016
79,COD,0,0,0,0,2016
79,COK,0,0,0,0,2016
79,COM,0,0,0,0,2016
79,CPV,0,0,0,0,2016
79,CRC,0,0,0,0,2016
79,CYP,0,0,0,0,2016
79,DJI,0,0,0,0,2016
79,DMA,0,0,0,0,2016
79,ECU,0,0,0,0,2016
79,ERI,0,0,0,0,2016
79,ESA,0,0,0,0,2016
79,FSM,0,0,0,0,2016
79,GAB,0,0,0,0,2016
79,GAM,0,0,0,0,2016
79,GBS,0,0,0,0,2016
79,GEQ,0,0,0,0,2016
79,GHA,0,0,0,0,2016
79,GUA,0,0,0,0,2016
79,GUI,0,0,0,0,2016
79,GUM,0,0,0,0,2016
79,GUY,0,0,0,0,2016
79,HAI,0,0,0,0,2016
79,HKG,0,0,0,0,2016
79,HON,0,0,0,0,2016
79,IRQ,0,0,0,0,2016
79,ISL,0,0,0,0,2016
79,ISV,0,0,0,0,2016
79,IVB,0,0,0,0,2016
79,KGZ,0,0,0,0,2016
79,KIR,0,0,0,0,2016
79,KSA,0,0,0,0,2016
79,LAO,0,0,0,0,2016
79,LAT,0,0,0,0,2016
79,LBA,0,0,0,0,2016
79,LBR,0,0,0,0,2016
79,LCA,0,0,0,0,2016
79,LES,0,0,0,0,2016
79,LIB,0,0,0,0,2016
79,LIE,0,0,0,0,2016
79,LUX,0,0,0,0,2016
79,MAD,0,0,0,0,2016
79,MAW,0,0,0,0,2016
79,MDA,0,0,0,0,2016
79,MDV,0,0,0,0,2016
79,MHL,0,0,0,0,2016
79,MKD,0,0,0,0,2016
79,MLI,0,0,0,0,2016
79,MLT,0,0,0,0,2016
79,MNE,0,0,0,0,2016
79,MON,0,0,0,0,2016
79,MOZ,0,0,0,0,2016
79,MRI,0,0,0,0,2016
79,MTN,0,0,0,0,2016
79,MYA,0,0,0,0,2016
79,NAM,0,0,0,0,2016
79,NCA,0,0,0,0,2016
79,NEP,0,0,0,0,2016
79,NRU,0,0,0,0,2016
79,OMA,0,0,0,0,2016
79,PAK,0,0,0,0,2016
79,PAN,0,0,0,0,2016
79,PAR,0,0,0,0,2016
79,PER,0,0,0,0,2016
79,PLE,0,0,0,0,2016
79,PLW,0,0,0,0,2016
79,PNG,0,0,0,0,2016
79,ROT,0,0,0,0,2016
79,RWA,0,0,0,0,2016
79,SAM,0,0,0,0,2016
79,SEN,0,0,0,0,2016
79,SEY,0,0,0,0,2016
79,SKN,0,0,0,0,2016
79,SLE,0,0,0,0,2016
79,SMR,0,0,0,0,2016
79,SOL,0,0,0,0,2016
79,SOM,0,0,0,0,2016
79,SRI,0,0,0,0,2016
79,SSD,0,0,0,0,2016
79,STP,0,0,0,0,2016
79,SUD,0,0,0,0,2016
79,SUR,0,0,0,0,2016
79,SWZ,0,0,0,0,2016
79,SYR,0,0,0,0,2016
79,TAN,0,0,0,0,2016
79,TGA,0,0,0,0,2016
79,TKM,0,0,0,0,2016
79,TLS,0,0,0,0,2016
79,TOG,0,0,0,0,2016
79,TUV,0,0,0,0,2016
79,UGA,0,0,0,0,2016
79,URU,0,0,0,0,2016
79,VAN,0,0,0,0,2016
79,VIN,0,0,0,0,2016
79,YEM,0,0,0,0,2016
79,ZAM,0,0,0,0,2016
79,ZIM,0,0,0,0,2016
1,United States,39,41,33,113,2020
2,China,38,32,19,89,2020
3,Japan,27,14,17,58,2020
4,Great Britain,22,20,22,64,2020
5,ROC,20,28,23,71,2020
6,Australia,17,7,22,46,2020
7,Netherlands,10,12,14,36,2020
8,France,10,12,11,33,2020
9,Germany,10,11,16,37,2020
10,Italy,10,10,20,40,2020
11,Canada,7,7,10,24,2020
12,Brazil,7,6,8,21,2020
13,New Zealand,7,6,7,20,2020
14,Cuba,7,3,5,15,2020
15,Hungary,6,7,7,20,2020
16,South Korea,6,4,10,20,2020
17,Poland,4,5,5,14,2020
18,Czech Republic,4,4,3,11,2020
19,Kenya,4,4,2,10,2020
20,Norway,4,2,2,8,2020
21,Jamaica,4,1,4,9,2020
22,Spain,3,8,6,17,2020
23,Sweden,3,6,0,9,2020
24,Switzerland,3,4,6,13,2020
25,Denmark,3,4,4,11,2020
26,Croatia,3,3,2,8,2020
27,Iran,3,2,2,7,2020
28,Serbia,3,1,5,9,2020
29,Belgium,3,1,3,7,2020
30,Bulgaria,3,1,2,6,2020
31,Slovenia,3,1,1,5,2020
32,Uzbekistan,3,0,2,5,2020
33,Georgia,2,5,1,8,2020
34,Chinese Taipei,2,4,6,12,2020
35,Turkey,2,2,9,13,2020
36,Greece,2,1,1,4,2020
36,Uganda,2,1,1,4,2020
38,Ecuador,2,1,0,3,2020
39,Ireland,2,0,2,4,2020
39,Israel,2,0,2,4,2020
41,Qatar,2,0,1,3,2020
42,Bahamas,2,0,0,2,2020
42,Kosovo,2,0,0,2,2020
44,Ukraine,1,6,12,19,2020
45,Belarus,1,3,3,7,2020
46,Romania,1,3,0,4,2020
46,Venezuela,1,3,0,4,2020
48,India,1,2,4,7,2020
49,Hong Kong,1,2,3,6,2020
50,Philippines,1,2,1,4,2020
50,Slovakia,1,2,1,4,2020
52,South Africa,1,2,0,3,2020
53,Austria,1,1,5,7,2020
54,Egypt,1,1,4,6,2020
55,Indonesia,1,1,3,5,2020
56,Ethiopia,1,1,2,4,2020
56,Portugal,1,1,2,4,2020
58,Tunisia,1,1,0,2,2020
59,Estonia,1,0,1,2,2020
59,Fiji,1,0,1,2,2020
59,Latvia,1,0,1,2,2020
59,Thailand,1,0,1,2,2020
63,Bermuda,1,0,0,1,2020
63,Morocco,1,0,0,1,2020
63,Puerto Rico,1,0,0,1,2020
66,Colombia,0,4,1,5,2020
67,Azerbaijan,0,3,4,7,2020
68,Dominican Republic,0,3,2,5,2020
69,Armenia,0,2,2,4,2020
70,Kyrgyzstan,0,2,1,3,2020
71,Mongolia,0,1,3,4,2020
72,Argentina,0,1,2,3,2020
72,San Marino,0,1,2,3,2020
74,Jordan,0,1,1,2,2020
74,Malaysia,0,1,1,2,2020
74,Nigeria,0,1,1,2,2020
77,Bahrain,0,1,0,1,2020
77,Lithuania,0,1,0,1,2020
77,Namibia,0,1,0,1,2020
77,North Macedonia,0,1,0,1,2020
77,Saudi Arabia,0,1,0,1,2020
77,Turkmenistan,0,1,0,1,2020
83,Kazakhstan,0,0,8,8,2020
84,Mexico,0,0,4,4,2020
85,Finland,0,0,2,2,2020
86,Botswana,0,0,1,1,2020
86,Burkina Faso,0,0,1,1,2020
86,Ghana,0,0,1,1,2020
86,Grenada,0,0,1,1,2020
86,Ivory Coast,0,0,1,1,2020
86,Kuwait,0,0,1,1,2020
86,Moldova,0,0,1,1,2020
86,Syria,0,0,1,1,2020
87,AFG,0,0,0,0,2020
87,ALB,0,0,0,0,2020
87,ALG,0,0,0,0,2020
87,AND,0,0,0,0,2020
87,ANG,0,0,0,0,2020
87,ANT,0,0,0,0,2020
87,ARU,0,0,0,0,2020
87,ASA,0,0,0,0,2020
87,BAN,0,0,0,0,2020
87,BAR,0,0,0,0,2020
87,BDI,0,0,0,0,2020
87,BEN,0,0,0,0,2020
87,BHU,0,0,0,0,2020
87,BIH,0,0,0,0,2020
87,BIZ,0,0,0,0,2020
87,BOL,0,0,0,0,2020
87,BRU,0,0,0,0,2020
87,CAF,0,0,0,0,2020
87,CAM,0,0,0,0,2020
87,CAY,0,0,0,0,2020
87,CGO,0,0,0,0,2020
87,CHA,0,0,0,0,2020
87,CHI,0,0,0,0,2020
87,CMR,0,0,0,0,2020
87,COD,0,0,0,0,2020
87,COK,0,0,0,0,2020
87,COM,0,0,0,0,2020
87,CPV,0,0,0,0,2020
87,CRC,0,0,0,0,2020
87,CYP,0,0,0,0,2020
87,DJI,0,0,0,0,2020
87,DMA,0,0,0,0,2020
87,EOR,0,0,0,0,2020
87,ERI,0,0,0,0,2020
87,ESA,0,0,0,0,2020
87,FSM,0,0,0,0,2020
87,GAB,0,0,0,0,2020
87,GAM,0,0,0,0,2020
87,GBS,0,0,0,0,2020
87,GEQ,0,0,0,0,2020
87,GUA,0,0,0,0,2020
87,GUI,0,0,0,0,2020
87,GUM,0,0,0,0,2020
87,GUY,0,0,0,0,2020
87,HAI,0,0,0,0,2020
87,HON,0,0,0,0,2020
87,IRQ,0,0,0,0,2020
87,ISL,0,0,0,0,2020
87,ISV,0,0,0,0,2020
87,IVB,0,0,0,0,2020
87,KIR,0,0,0,0,2020
87,LAO,0,0,0,0,2020
87,LBA,0,0,0,0,2020
87,LBN,0,0,0,0,2020
87,LBR,0,0,0,0,2020
87,LCA,0,0,0,0,2020
87,LES,0,0,0,0,2020
87,LIE,0,0,0,0,2020
87,LUX,0,0,0,0,2020
87,MAD,0,0,0,0,2020
87,MAW,0,0,0,0,2020
87,MDV,0,0,0,0,2020
87,MHL,0,0,0,0,2020
87,MLI,0,0,0,0,2020
87,MLT,0,0,0,0,2020
87,MNE,0,0,0,0,2020
87,MON,0,0,0,0,2020
87,MOZ,0,0,0,0,2020
87,MRI,0,0,0,0,2020
87,MTN,0,0,0,0,2020
87,MYA,0,0,0,0,2020
87,NCA,0,0,0,0,2020
87,NEP,0,0,0,0,2020
87,NIG,0,0,0,0,2020
87,NRU,0,0,0,0,2020
87,OMA,0,0,0,0,2020
87,PAK,0,0,0,0,2020
87,PAN,0,0,0,0,2020
87,PAR,0,0,0,0,2020
87,PER,0,0,0,0,2020
87,PLE,0,0,0,0,2020
87,PLW,0,0,0,0,2020
87,PNG,0,0,0,0,2020
87,RWA,0,0,0,0,2020
87,SAM,0,0,0,0,2020
87,SEN,0,0,0,0,2020
87,SEY,0,0,0,0,2020
87,SGP,0,0,0,0,2020
87,SKN,0,0,0,0,2020
87,SLE,0,0,0,0,2020
87,SOL,0,0,0,0,2020
87,SOM,0,0,0,0,2020
87,SRI,0,0,0,0,2020
87,SSD,0,0,0,0,2020
87,STP,0,0,0,0,2020
87,SUD,0,0,0,0,2020
87,SUR,0,0,0,0,2020
87,SWZ,0,0,0,0,2020
87,TAN,0,0,0,0,2020
87,TGA,0,0,0,0,2020
87,TJK,0,0,0,0,2020
87,TLS,0,0,0,0,2020
87,TOG,0,0,0,0,2020
87,TTO,0,0,0,0,2020
87,TUV,0,0,0,0,2020
87,UAE,0,0,0,0,2020
87,URU,0,0,0,0,2020
87,VAN,0,0,0,0,2020
87,VIE,0,0,0,0,2020
87,VIN,0,0,0,0,2020
87,YEM,0,0,0,0,2020
87,ZAM,0,0,0,0,2020
